Date,Rot,VH,Team,1st,2nd,3rd,4th,Final,Open,Close,ML,2H
831,309840,H,NoDakotaState,15,21,14,7,57,47.5,48.5,-330000,14.5
831,309841,V,Drake,0,0,0,7,7,NL,42.5,525,19.5
831,309842,H,NorthDakota,10,2,21,14,47,7.5,17,-750,7
831,309843,V,SanDiego,14,0,7,13,34,NL,67.5,240,1
831,309844,H,CalPoly,14,24,14,0,52,8,7,-280,34
831,309845,V,Lafayette,7,3,0,7,17,NL,34.5,500,17.5
831,309846,H,William&Mary,6,0,24,0,30,9.5,15.5,-700,7.5
831,309847,V,CentralConn.,8,7,0,11,26,13,4,-185,1
831,309848,H,Fordham,0,6,10,7,23,NL,51.5,160,23
831,309849,V,Mercer,14,28,7,0,49,3,6,-260,36.5
831,309850,H,WesternCarolina,7,7,7,6,27,NL,71.5,220,1.5
831,309851,V,Wofford,3,0,3,7,13,1,21.5,-1500,14
831,309852,H,SoCarolinaSt,7,7,7,7,28,NL,41.5,1000,18.5
831,309853,V,Elon,7,0,14,0,21,3,3.5,-175,3.5
831,309854,H,N.CarolinaA&T,0,14,7,3,24,NL,42.5,155,21
831,309855,V,PrairieView,6,17,14,7,44,10,15,-600,7
831,309856,H,TexasSouthern,13,0,10,0,23,NL,57.5,450,26.5
831,309857,V,Southern,7,7,0,14,28,NL,46.5,230,23.5
831,309858,H,McNeeseSt,7,10,7,10,34,4,6,-270,3
831,309861,V,Miss.ValleySt,0,6,7,7,20,NL,61.5,5500,27.5
831,309862,H,TennesseeSt,7,3,10,6,26,31.5,31.5,-13500,14.5
831,309863,V,Samford,7,17,14,6,58,19.5,20.5,-1333,9
831,309864,H,TennesseeTech,12,0,10,22,59,NL,60.5,875,28.5
901,215,V,Houston,0,10,7,14,31,80,80,850,37.5
901,216,H,Oklahoma,7,14,21,7,49,26.5,22,-1300,13.5
901,309865,V,BethuneCookman,0,0,22,14,36,7.5,9.5,-350,6.5
901,309866,H,JacksonSt,3,0,12,0,15,NL,45,290,19.5
902,217,V,NotreDame,14,7,7,7,35,20,19.5,-1250,7.5
902,218,H,Louisville,14,0,0,3,17,59,55,800,27.5
906,301,V,Wake Forest,14,10,10,7,41,18,20,-1400,7.5
906,302,H,Rice,14,0,0,7,21,57,59,800,27.5
906,303,V,Marshall,7,0,0,0,7,56.5,58.5,450,27
906,304,H,Boise State,0,7,7,0,14,12,14,-650,7
906,393,V,William & Mary,0,3,7,7,17,NL,NL,NL,NL
906,394,H,Virginia,21,14,7,10,52,35.5,32.5,NL,NL
906,395,V,CS Sacramento,0,0,0,7,7,NL,NL,NL,NL
906,396,H,Arizona State,0,3,6,10,19,36.5,35,NL,NL
907,305,V,Ohio,0,3,7,0,10,54,55,160,26.5
907,306,H,Pittsburgh U,3,14,3,0,20,6.5,4,-190,0.5
907,307,V,Old Dominion,3,0,7,7,17,59,58,1600,24.5
907,308,H,Virginia Tech,10,7,7,7,31,26.5,29,-6000,12.5
907,309,V,UAB,7,10,14,0,31,9,7.5,-310,3.5
907,310,H,Akron,6,0,0,14,20,49.5,46.5,250,21.5
907,311,V,Army,7,7,0,0,21,48.5,48,1000,23.5
907,312,H,Michigan,7,0,7,0,24,23.5,21.5,-2000,12
907,313,V,Vanderbilt,7,3,0,14,24,57.5,55,215,27
907,314,H,Purdue,7,7,14,14,42,9.5,7,-265,3
907,315,V,Rutgers,0,0,0,0,0,49.5,48,650,20
907,316,H,Iowa,7,13,7,3,30,20.5,17.5,-1000,7
907,317,V,Syracuse,7,6,7,0,20,2.5,59,105,0.5
907,318,H,Maryland,21,21,7,14,63,58,1.5,-125,28.5
907,319,V,West Virginia,0,0,0,7,7,64.5,61.5,400,24.5
907,320,H,Missouri,10,21,0,7,38,10.5,13.5,-550,6
907,321,V,Cincinnati U,0,0,0,0,0,55,52,500,21.5
907,322,H,Ohio State,7,21,7,7,42,17,15,-700,7
907,323,V,Bowling Green,0,0,0,0,0,53,57,1000,23.5
907,324,H,Kansas State,17,21,7,7,52,24,24.5,-2000,7.5
907,325,V,No Illinois,7,10,0,0,17,43.5,44.5,1200,24.5
907,326,H,Utah,0,21,7,7,35,23,23.5,-3000,11
907,327,V,South Florida,3,0,0,7,10,60,58.5,170,24
907,328,H,Georgia Tech,0,14,0,0,14,6,4.5,-200,0.5
907,329,V,Tulsa,7,10,3,14,34,7,6.5,-260,2
907,330,H,San Jose State,3,7,0,6,16,54.5,53.5,210,26.5
907,331,V,Nebraska,7,10,0,14,31,3.5,4,-190,4
907,332,H,Colorado,0,0,7,24,34,61,64.5,160,27.5
907,333,V,Texas A&M,0,3,0,7,10,60.5,61.5,550,27
907,334,H,Clemson,0,17,7,0,24,19,16,-800,7.5
907,335,V,Central Michigan,0,0,0,0,0,50,53.5,8500,20.5
907,336,H,Wisconsin,16,28,10,7,61,34,35,-23000,10.5
907,337,V,Charlotte,6,7,15,13,41,52,54,1200,24
907,338,H,Appalachian St,14,14,14,14,56,21,23,-3000,8
